,cmplnt_num,cmplnt_fr_dt,crm_atpt_cptd_cd,juris_desc,law_cat_cd,loc_of_occur_desc,ofns_desc,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude
0,903695881,2021-12-17T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,M,40.64564719600002,-73.90287588699994
1,400462399,2021-12-17T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,F,40.682499421000045,-73.78726915499993
2,587910690,2021-12-13T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,M,40.689218058000044,-73.79144856999993
3,186105368,2021-12-07T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,INSIDE,DANGEROUS WEAPONS,25-44,BLACK,M,UNKNOWN,UNKNOWN,E,40.88271780700006,-73.88124724999993
4,185325394,2021-12-06T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,M,40.69648322200004,-73.77667979199998
5,791525475,2021-12-05T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,INSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,18-24,BLACK HISPANIC,M,40.84196981100007,-73.91529662699998
6,276296223,2021-12-01T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,DANGEROUS WEAPONS,25-44,BLACK,M,UNKNOWN,UNKNOWN,E,40.89547629000003,-73.87712270799993
7,600494269,2021-11-13T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,INSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,F,40.86071697500005,-73.89925031699994
8,477204863,2021-11-05T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,M,40.67565718100008,-73.89200234699997
9,528992969,2021-10-28T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,M,40.65563971300003,-73.91153990699996
10,824175212,2021-10-19T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,18-24,BLACK,M,40.70586500300004,-73.79753162399999
11,323944631,2021-10-15T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,18-24,BLACK,M,<18,BLACK,M,40.71801219200007,-73.98658542399994
12,379176719,2021-10-03T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,45-64,BLACK,M,25-44,WHITE HISPANIC,M,40.71323577700008,-73.79970961299993
13,694082264,2021-10-02T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,18-24,WHITE HISPANIC,F,25-44,BLACK,M,40.67461914900008,-73.80427786999996
14,341504228,2021-09-30T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,INSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,18-24,BLACK,M,40.67288014500008,-73.92369108599996
15,936844419,2021-09-28T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,UNKNOWN,UNKNOWN,U,18-24,BLACK,M,40.66525054900006,-73.890757594
16,288891299,2021-09-26T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,25-44,BLACK,M,25-44,BLACK,M,40.59625904800004,-73.76392225799998
